,color,color_name,hex,rgb
821,usc_gold,Usc Gold,#fc0,"[255, 204, 0]"
822,utah_crimson,Utah Crimson,#d3003f,"[211, 0, 63]"
823,vanilla,Vanilla,#f3e5ab,"[243, 229, 171]"
824,vegas_gold,Vegas Gold,#c5b358,"[197, 179, 88]"
825,venetian_red,Venetian Red,#c80815,"[200, 8, 21]"
826,verdigris,Verdigris,#43b3ae,"[67, 179, 174]"
827,vermilion_cinnabar,Vermilion (Cinnabar),#e34234,"[227, 66, 52]"
828,vermilion_plochere,Vermilion (Plochere),#d9603b,"[217, 96, 59]"
829,veronica,Veronica,#a020f0,"[160, 32, 240]"
830,violet,Violet,#8f00ff,"[143, 0, 255]"
831,violet_blue,Violet-Blue,#324ab2,"[50, 74, 178]"
832,violet_color_wheel,Violet (Color Wheel),#7f00ff,"[127, 0, 255]"
833,violet_ryb,Violet (Ryb),#8601af,"[134, 1, 175]"
834,violet_web,Violet (Web),#ee82ee,"[238, 130, 238]"
835,viridian,Viridian,#40826d,"[64, 130, 109]"
836,vivid_auburn,Vivid Auburn,#922724,"[146, 39, 36]"
837,vivid_burgundy,Vivid Burgundy,#9f1d35,"[159, 29, 53]"
838,vivid_cerise,Vivid Cerise,#da1d81,"[218, 29, 129]"
839,vivid_tangerine,Vivid Tangerine,#ffa089,"[255, 160, 137]"
840,vivid_violet,Vivid Violet,#9f00ff,"[159, 0, 255]"
841,warm_black,Warm Black,#004242,"[0, 66, 66]"
842,waterspout,Waterspout,#a4f4f9,"[164, 244, 249]"
843,wenge,Wenge,#645452,"[100, 84, 82]"
844,wheat,Wheat,#f5deb3,"[245, 222, 179]"
845,white,White,#fff,"[255, 255, 255]"
846,white_smoke,White Smoke,#f5f5f5,"[245, 245, 245]"
847,wild_blue_yonder,Wild Blue Yonder,#a2add0,"[162, 173, 208]"
848,wild_strawberry,Wild Strawberry,#ff43a4,"[255, 67, 164]"
849,wild_watermelon,Wild Watermelon,#fc6c85,"[252, 108, 133]"
850,wine,Wine,#722f37,"[114, 47, 55]"
851,wine_dregs,Wine Dregs,#673147,"[103, 49, 71]"
852,wisteria,Wisteria,#c9a0dc,"[201, 160, 220]"
853,wood_brown,Wood Brown,#c19a6b,"[193, 154, 107]"
854,xanadu,Xanadu,#738678,"[115, 134, 120]"
855,yale_blue,Yale Blue,#0f4d92,"[15, 77, 146]"
856,yellow,Yellow,#ff0,"[255, 255, 0]"
857,yellow_green,Yellow-Green,#9acd32,"[154, 205, 50]"
858,yellow_munsell,Yellow (Munsell),#efcc00,"[239, 204, 0]"
859,yellow_ncs,Yellow (Ncs),#ffd300,"[255, 211, 0]"
860,yellow_orange,Yellow Orange,#ffae42,"[255, 174, 66]"
861,yellow_process,Yellow (Process),#ffef00,"[255, 239, 0]"
862,yellow_ryb,Yellow (Ryb),#fefe33,"[254, 254, 51]"
863,zaffre,Zaffre,#0014a8,"[0, 20, 168]"
864,zinnwaldite_brown,Zinnwaldite Brown,#2c1608,"[44, 22, 8]"
