,color,color_name,hex,rgb
328,gainsboro,Gainsboro,#dcdcdc,"[220, 220, 220]"
329,gamboge,Gamboge,#e49b0f,"[228, 155, 15]"
330,ghost_white,Ghost White,#f8f8ff,"[248, 248, 255]"
331,ginger,Ginger,#b06500,"[176, 101, 0]"
332,glaucous,Glaucous,#6082b6,"[96, 130, 182]"
333,glitter,Glitter,#e6e8fa,"[230, 232, 250]"
334,gold_metallic,Gold (Metallic),#d4af37,"[212, 175, 55]"
335,gold_web_golden,Gold (Web) (Golden),#ffd700,"[255, 215, 0]"
336,golden_brown,Golden Brown,#996515,"[153, 101, 21]"
337,golden_poppy,Golden Poppy,#fcc200,"[252, 194, 0]"
338,golden_yellow,Golden Yellow,#ffdf00,"[255, 223, 0]"
339,goldenrod,Goldenrod,#daa520,"[218, 165, 32]"
340,granny_smith_apple,Granny Smith Apple,#a8e4a0,"[168, 228, 160]"
341,gray,Gray,#808080,"[128, 128, 128]"
342,gray_asparagus,Gray-Asparagus,#465945,"[70, 89, 69]"
343,gray_html_css_gray,Gray (Html/Css Gray),#808080,"[128, 128, 128]"
344,gray_x11_gray,Gray (X11 Gray),#bebebe,"[190, 190, 190]"
345,green_color_wheel_x11_green,Green (Color Wheel) (X11 Green),#0f0,"[0, 255, 0]"
346,green_crayola,Green (Crayola),#1cac78,"[28, 172, 120]"
347,green_html_css_green,Green (Html/Css Green),#008000,"[0, 128, 0]"
348,green_munsell,Green (Munsell),#00a877,"[0, 168, 119]"
349,green_ncs,Green (Ncs),#009f6b,"[0, 159, 107]"
350,green_pigment,Green (Pigment),#00a550,"[0, 165, 80]"
351,green_ryb,Green (Ryb),#66b032,"[102, 176, 50]"
352,green_yellow,Green-Yellow,#adff2f,"[173, 255, 47]"
353,grullo,Grullo,#a99a86,"[169, 154, 134]"
354,guppie_green,Guppie Green,#00ff7f,"[0, 255, 127]"
355,halay_be,Halayà úBe,#663854,"[102, 56, 84]"
356,han_blue,Han Blue,#446ccf,"[68, 108, 207]"
357,han_purple,Han Purple,#5218fa,"[82, 24, 250]"
358,hansa_yellow,Hansa Yellow,#e9d66b,"[233, 214, 107]"
359,harlequin,Harlequin,#3fff00,"[63, 255, 0]"
360,harvard_crimson,Harvard Crimson,#c90016,"[201, 0, 22]"
361,harvest_gold,Harvest Gold,#da9100,"[218, 145, 0]"
362,heart_gold,Heart Gold,#808000,"[128, 128, 0]"
363,heliotrope,Heliotrope,#df73ff,"[223, 115, 255]"
364,hollywood_cerise,Hollywood Cerise,#f400a1,"[244, 0, 161]"
365,honeydew,Honeydew,#f0fff0,"[240, 255, 240]"
366,honolulu_blue,Honolulu Blue,#007fbf,"[0, 127, 191]"
367,hooker_s_green,Hooker'S Green,#49796b,"[73, 121, 107]"
368,hot_magenta,Hot Magenta,#ff1dce,"[255, 29, 206]"
369,hot_pink,Hot Pink,#ff69b4,"[255, 105, 180]"
370,hunter_green,Hunter Green,#355e3b,"[53, 94, 59]"
371,iceberg,Iceberg,#71a6d2,"[113, 166, 210]"
372,icterine,Icterine,#fcf75e,"[252, 247, 94]"
373,imperial_blue,Imperial Blue,#002395,"[0, 35, 149]"
374,inchworm,Inchworm,#b2ec5d,"[178, 236, 93]"
375,india_green,India Green,#138808,"[19, 136, 8]"
376,indian_red,Indian Red,#cd5c5c,"[205, 92, 92]"
377,indian_yellow,Indian Yellow,#e3a857,"[227, 168, 87]"
378,indigo,Indigo,#6f00ff,"[111, 0, 255]"
379,indigo_dye,Indigo (Dye),#00416a,"[0, 65, 106]"
380,indigo_web,Indigo (Web),#4b0082,"[75, 0, 130]"
381,international_klein_blue,International Klein Blue,#002fa7,"[0, 47, 167]"
382,international_orange_aerospace,International Orange (Aerospace),#ff4f00,"[255, 79, 0]"
383,international_orange_engineering,International Orange (Engineering),#ba160c,"[186, 22, 12]"
384,international_orange_golden_gate_bridge,International Orange (Golden Gate Bridge),#c0362c,"[192, 54, 44]"
385,iris,Iris,#5a4fcf,"[90, 79, 207]"
386,isabelline,Isabelline,#f4f0ec,"[244, 240, 236]"
387,islamic_green,Islamic Green,#009000,"[0, 144, 0]"
388,ivory,Ivory,#fffff0,"[255, 255, 240]"
389,jade,Jade,#00a86b,"[0, 168, 107]"
390,jasmine,Jasmine,#f8de7e,"[248, 222, 126]"
391,jasper,Jasper,#d73b3e,"[215, 59, 62]"
392,jazzberry_jam,Jazzberry Jam,#a50b5e,"[165, 11, 94]"
393,jet,Jet,#343434,"[52, 52, 52]"
394,jonquil,Jonquil,#fada5e,"[250, 218, 94]"
395,june_bud,June Bud,#bdda57,"[189, 218, 87]"
396,jungle_green,Jungle Green,#29ab87,"[41, 171, 135]"
397,kelly_green,Kelly Green,#4cbb17,"[76, 187, 23]"
398,kenyan_copper,Kenyan Copper,#7c1c05,"[124, 28, 5]"
399,khaki_html_css_khaki,Khaki (Html/Css) (Khaki),#c3b091,"[195, 176, 145]"
400,khaki_x11_light_khaki,Khaki (X11) (Light Khaki),#f0e68c,"[240, 230, 140]"
401,ku_crimson,Ku Crimson,#e8000d,"[232, 0, 13]"
402,la_salle_green,La Salle Green,#087830,"[8, 120, 48]"
403,languid_lavender,Languid Lavender,#d6cadd,"[214, 202, 221]"
404,lapis_lazuli,Lapis Lazuli,#26619c,"[38, 97, 156]"
405,laser_lemon,Laser Lemon,#fefe22,"[254, 254, 34]"
406,laurel_green,Laurel Green,#a9ba9d,"[169, 186, 157]"
407,lava,Lava,#cf1020,"[207, 16, 32]"
408,lavender_blue,Lavender Blue,#ccf,"[204, 204, 255]"
409,lavender_blush,Lavender Blush,#fff0f5,"[255, 240, 245]"
410,lavender_floral,Lavender (Floral),#b57edc,"[181, 126, 220]"
